hour,tariff,pump_on,q_pump_m3h,pump_head_m,power_kW,energy_kWh,cost,tank_level_m,tank_head_m,q_p0_m3h,q_p1_m3h,q_p2_m3h,q_p3_m3h,q_p4_m3h,H_A_m,H_B_m,H_C_m,demand_A_m3h,demand_B_m3h,demand_C_m3h,demand_T_m3h
0,0.35,0,-0.0,0.0,0.0,0.0,0.0,3.0,104.0,-0.0,8.817944216016702,-11.432055783983298,-8.817944216016702,-51.75,103.54360786910948,103.5281892258734,103.59044268754081,0.0,20.25,31.5,0.0
1,0.35,0,-0.0,0.0,0.0,0.0,0.0,2.6550000000000202,103.65500000000002,-0.0,7.437531158416672,-9.66246884158333,-7.437531158416672,-43.7,103.29179363168316,103.27878871390647,103.33129665107731,0.0,17.1,26.6,0.0
2,0.35,0,-0.0,0.0,0.0,0.0,0.0,2.363666666666687,103.36366666666669,-0.0,6.654633141741289,-8.645366858258711,-6.654633141741292,-39.1,103.05367791865275,103.04204193958938,103.0890227254791,0.0,15.3,23.8,0.0
3,0.35,1,198.67906156085257,99.25078258555097,67.2353397604641,67.2353397604641,23.532368916162433,2.1030000000000206,103.10300000000002,198.67906156085257,88.28437221879119,73.4343722187912,110.39468934206135,160.72906156085256,108.9479724847976,108.33818570564863,106.326497977919,0.0,14.85,23.1,0.0
4,0.35,1,195.954809267041,99.83888054947754,66.73559123991785,66.73559123991785,23.357456933971246,3.174527077072362,104.17452707707236,195.954809267041,89.08092397536413,71.08092397536413,106.87388529167693,149.95480926704107,109.54366886306742,108.92475889110396,107.04468344115499,0.0,18.0,28.0,0.0
5,0.35,1,196.52655310977212,99.71545534742796,66.84047438168315,66.84047438168315,23.3941660335891,4.174225805519313,105.17422580551931,196.52655310977212,95.4190425278142,66.1690425278142,101.10751058195797,121.77655310977217,109.41864896781519,108.72714625199299,107.12027623313493,0.0,29.25,45.5,0.0
6,0.75,0,-0.0,0.0,0.0,0.0,0.0,4.986069492917794,105.98606949291779,-0.0,25.58879503336862,-23.91120496663138,-25.58879503336862,-126.5,103.66753738252864,103.59590840012018,103.88511362021417,0.0,49.5,77.0,0.0
7,0.75,0,-0.0,0.0,0.0,0.0,0.0,4.1427361595844605,105.14273615958446,-0.0,32.439152679278834,-32.810847320721166,-32.439152679278834,-166.75,101.3824391431974,101.27072313979782,101.72178150004314,0.0,65.25,101.5,0.0
8,0.75,0,-0.0,0.0,0.0,0.0,0.0,3.031069492917794,104.0310694929178,-0.0,31.460530158434576,-31.539469841565424,-31.460530158434576,-161.0,100.4767388916733,100.37074960555816,100.798686088639,0.0,63.0,98.0,0.0
9,0.75,0,-0.0,0.0,0.0,0.0,0.0,1.9577361595844607,102.95773615958446,-0.0,27.54604007505731,-26.45395992494269,-27.54604007505731,-138.0,100.22727121891019,100.14418880193284,100.47963777635579,0.0,54.0,84.0,0.0
